cik,acc_nodash,date_filed,company_name,form_type,parse_status,item401_text,auditor_out,auditor_in,reason,disagreements
15615,000095014404009538,2004-10,MASTEC INC,8-K/A,no_items_found,,,,,
1302041,000091412104002577,2004-12,MASTR Adjustable Rate Mortgage Trust 2004-8,8-K/A,no_items_found,,,,,
1304818,000091412104002575,2004-12,MASTR Adjustable Rate Mortgages Trust 2004-10,8-K/A,no_items_found,,,,,
1304805,000091412104002579,2004-12,MASTR Adjustable Rate Mortgages Trust 2004-9,8-K/A,no_items_found,,,,,
1122380,000114420404021449,2004-12,MAXIM MORTGAGE CORP/,8-K/A,no_items_found,,,,,
1120411,000114420404016554,2004-10,MEDIA & ENTERTAINMENT COM INC,8-K/A,no_items_found,,,,,
747574,000122182504000128,2004-12,MEISENHEIMER CAPITAL INC,8-K/A,no_items_found,,,,,
794172,000089225104001189,2004-12,MERIDIAN BIOSCIENCE INC,8-K/A,no_items_found,,,,,
1071758,000110594404000056,2004-12,MERIDIAN HOLDINGS INC,8-K/A,no_items_found,,,,,
882154,000095015204007366,2004-10,METRETEK TECHNOLOGIES INC,8-K/A,no_items_found,,,,,
32567,000126493104000206,2004-11,METWOOD INC,8-K/A,no_items_found,,,,,
67472,000006747204000178,2004-12,MOLEX INC,8-K/A,no_items_found,,,,,
935496,000101968704002910,2004-12,MULTI MEDIA TUTORIAL SERVICES INC,8-K/A,no_items_found,,,,,
935496,000101968704002942,2004-12,MULTI MEDIA TUTORIAL SERVICES INC,8-K/A,no_items_found,,,,,
1307193,000091412104002550,2004-12,Morgan Stanley ABS Capital I Inc. Trust 2004-HE8,8-K/A,no_items_found,,,,,
1080316,000116552704000240,2004-10,NANO SUPERLATTICE TECHNOLOGY INC.,8-K/A,no_items_found,,,,,
1099609,000120180004000197,2004-10,NESCO INDUSTRIES INC,8-K/A,no_items_found,,,,,
1050996,000110465904040002,2004-12,NORTHEAST PENNSYLVANIA FINANCIAL CORP,8-K/A,no_items_found,,,,,
758004,000075800404000066,2004-10,NOVELL INC,8-K/A,no_items_found,,,,,
740971,000074097104000083,2004-10,OLD POINT FINANCIAL CORP,8-K/A,no_items_found,,,,,
1126302,000112630204000100,2004-11,ON THE GO HEALTHCARE INC,8-K/A,no_items_found,,,,,
1126302,000112630204000110,2004-11,ON THE GO HEALTHCARE INC,8-K/A,no_items_found,,,,,
889992,000095011704004204,2004-11,ORTEC INTERNATIONAL INC,8-K/A,no_items_found,,,,,
1006281,000095014404011550,2004-11,ORTHODONTIX INC,8-K/A,no_items_found,,,,,
77808,000095017204002610,2004-11,PETRIE STORES LIQUIDATING TRUST,8-K/A,no_items_found,,,,,
791050,000090730304000268,2004-12,PHOTOWORKS INC /WA,8-K/A,no_items_found,,,,,
895234,000081291404000272,2004-10,PLM EQUIPMENT GROWTH & INCOME FUND VII,8-K/A,no_items_found,,,,,
874395,000081291404000270,2004-10,PLM EQUIPMENT GROWTH FUND VI,8-K/A,no_items_found,,,,,
744667,000101041204000462,2004-12,PROCESS TECHNOLOGY SYSTEMS INC,8-K/A,no_items_found,,,,,
928956,000081291404000274,2004-10,PROFESSIONAL LEASE MANAGEMENT INCOME FUND I LLC,8-K/A,no_items_found,,,,,
1001917,000095012404006424,2004-12,PYRAMID BREWERIES INC,8-K/A,no_items_found,,,,,
1310191,000088237704002650,2004-12,"Park Place Securities, Inc., Asset-Backed Pass-Through Certi",8-K/A,no_items_found,,,,,
1130126,000101905604001313,2004-11,Quest Minerals & Mining Corp,8-K/A,no_items_found,,,,,
1041858,000095017204003024,2004-12,RCN CORP /DE/,8-K/A,no_items_found,,,,,
769874,000119312504210542,2004-12,REMEC INC,8-K/A,no_items_found,,,,,
769874,000119312504213822,2004-12,REMEC INC,8-K/A,no_items_found,,,,,
706507,000089907804000723,2004-10,RENAISSANCE ACCEPTANCE GROUP INC,8-K/A,no_items_found,,,,,
922204,000119312504205247,2004-11,RF MONOLITHICS INC /DE/,8-K/A,no_items_found,,,,,
85408,000008540804000066,2004-11,ROWAN COMPANIES INC,8-K/A,no_items_found,,,,,
926229,000114420404016764,2004-10,SCANTEK MEDICAL INC,8-K/A,no_items_found,,,,,
1121260,000113705004000266,2004-12,SHALLBETTER INDUSTRIES INC,8-K/A,no_items_found,,,,,
1005698,000130794204000016,2004-12,SMARTSERV ONLINE INC,8-K/A,no_items_found,,,,,
936931,000119312504179506,2004-10,SOURCECORP INC,8-K/A,no_items_found,,,,,
946453,000119312504214529,2004-12,SOUTHERN BANC CO INC,8-K/A,no_items_found,,,,,
881468,000114420404022484,2004-12,SPATIALIGHT INC,8-K/A,no_items_found,,,,,
1107206,000116169704001016,2004-12,SPEAR & JACKSON INC,8-K/A,no_items_found,,,,,
319013,000101968704002648,2004-11,SPECTRUM LABORATORIES INC /CA,8-K/A,no_items_found,,,,,
1100202,000101172304000071,2004-10,SUTTER HOLDING CO INC,8-K/A,no_items_found,,,,,
1100202,000101172304000096,2004-12,SUTTER HOLDING CO INC,8-K/A,no_items_found,,,,,
1307628,000116231804000756,2004-11,Structured Asset Investment Loan Trust 2004-10,8-K/A,no_items_found,,,,,
1307374,000088237704002551,2004-12,"Structured Asset Mortgage Investments II Inc., HomeBanc Mort",8-K/A,no_items_found,,,,,
1304835,000091142004000441,2004-10,Structured Asset Mortgage Investments II Trust 2004-AR6,8-K/A,no_items_found,,,,,
1123219,000114420404019754,2004-11,TELCOBLUE INC,8-K/A,no_items_found,,,,,
1123219,000114420404022752,2004-12,TELCOBLUE INC,8-K/A,no_items_found,,,,,
910267,000101968704002408,2004-11,TITAN PHARMACEUTICALS INC,8-K/A,no_items_found,,,,,
921549,000095012304013676,2004-11,TRICO MARINE SERVICES INC,8-K/A,no_items_found,,,,,
1265092,000126509204000013,2004-11,TRUST CREATED FEBRUARY 25 1986,8-K/A,no_items_found,,,,,
1265092,000126509204000017,2004-12,TRUST CREATED FEBRUARY 25 1986,8-K/A,no_items_found,,,,,
1049231,000119312504180607,2004-10,UNITED PAN AM FINANCIAL CORP,8-K/A,no_items_found,,,,,
1089815,000116923204006158,2004-12,US NEUROSURGICAL INC,8-K/A,no_items_found,,,,,
1099531,000110465904039079,2004-12,VANTAGEMED CORP,8-K/A,no_items_found,,,,,
1030206,000089710104002211,2004-10,VASCULAR SOLUTIONS INC,8-K/A,no_items_found,,,,,
1036968,000116923204005585,2004-11,VAXGEN INC,8-K/A,no_items_found,,,,,
1036968,000116923204005839,2004-11,VAXGEN INC,8-K/A,no_items_found,,,,,
1056598,000130024804000142,2004-12,VICTOR INDUSTRIES INC,8-K/A,no_items_found,,,,,
1192069,000113902004000346,2004-12,WINFIELD FINANCIAL GROUP INC,8-K/A,no_items_found,,,,,
38981,000092242304001739,2004-10,WIRELESS FRONTIER INTERNET INC,8-K/A,no_items_found,,,,,
1114302,000113902004000337,2004-12,WORLD WIDE WEB INC,8-K/A,no_items_found,,,,,
797397,000095014404012187,2004-12,YAGER KUESTER PUBLIC FUND 1986 LIMITED PARTNERSHIP,8-K/A,no_items_found,,,,,
814055,000101019204000056,2004-10,YOUBET COM INC,8-K/A,no_items_found,,,,,
1134018,000100201404000576,2004-10,ZEOLITE MINING CORP.,8-K/A,no_items_found,,,,,
1011601,000114420405007136,2005-03,ACTIVECORE TECHNOLOGIES INC,8-K/A,no_items_found,,,,,
1020657,000118518505000049,2005-01,ADVANCED OPTICS ELECTRONICS INC,8-K/A,no_items_found,,,,,
1042420,000119312505025156,2005-02,"AKESIS PHARMACEUTICALS, INC.",8-K/A,no_items_found,,,,,
825313,000110465905000447,2005-01,ALLIANCE CAPITAL MANAGEMENT HOLDING LP,8-K/A,no_items_found,,,,,
1109448,000110465905000446,2005-01,ALLIANCE CAPITAL MANAGEMENT L P,8-K/A,no_items_found,,,,,
1088781,000114420405001384,2005-01,AMAZON BIOTECH INC,8-K/A,no_items_found,,,,,
4962,000000496205000086,2005-03,AMERICAN EXPRESS CO,8-K/A,no_items_found,,,,,
4969,000000496905000001,2005-03,AMERICAN EXPRESS CREDIT CORP,8-K/A,no_items_found,,,,,
26537,000095013305000192,2005-01,"ARGON ST, Inc.",8-K/A,no_items_found,,,,,
1271484,000100009605000127,2005-02,ASSURETEC HOLDINGS INC,8-K/A,no_items_found,,,,,
789606,000107937205000002,2005-01,"AZTEC OIL & GAS, INC.",8-K/A,no_items_found,,,,,
1312454,000088237705000227,2005-02,American Home Mortgage Investment Trust 2004-4,8-K/A,no_items_found,,,,,
1283137,000105640405001072,2005-02,BANC OF AMERICA COMMERCIAL MORT PASS THR CERTS SER 2004-1,8-K/A,no_items_found,,,,,
1166389,000101054905000160,2005-03,BASIC EMPIRE CORP,8-K/A,no_items_found,,,,,
1089598,000101092405000024,2005-02,BAYNON INTERNATIONAL CORP,8-K/A,no_items_found,,,,,
1319557,000088237705000585,2005-03,"BEAR STEARNS ARM TRUST, MORTGAGE-BACKED NOTES, SERIES 2005-2",8-K/A,no_items_found,,,,,
1307453,000113699905000120,2005-03,BEAR STEARNS ASSET BACKED SECURITIES I TRUST 2004-HE9,8-K/A,no_items_found,,,,,
