cik,acc_nodash,date_filed,company_name,reason
0001101137,000103849404000034,2004-04-02,VOLT INC,no_permno_link
0001171689,000107258804000110,2004-04-05,LONGBOW MINING CORP,no_permno_link
0000740942,000116855704000033,2004-04-06,TOWER BANCORP INC,no_permno_link
0001205181,000107258804000112,2004-04-06,IMAGING3 INC,no_permno_link
0000001853,000107704804000134,2004-04-06,ABERDEEN IDAHO MINING CO,no_permno_link
0000755328,000107704804000135,2004-04-06,MISSOURI RIVER & GOLD GEM CORP,no_permno_link
0001122112,000118518504000044,2004-04-08,INTERNATIONAL SURFACING INC,no_permno_link
0001080759,000107258804000116,2004-04-08,CHINA NETTV HOLDINGS INC,no_permno_link
0001109152,000119983504000124,2004-04-08,GLOBAL INDUSTRIAL SERVICES INC,no_permno_link
0000801748,000080174804000005,2004-04-09,HEMACARE CORP /CA/,no_permno_link
0001036968,000116923204002173,2004-04-09,VAXGEN INC,no_permno_link
0000929452,000100888604000076,2004-04-12,KNIGHT TRANSPORTATION INC,no_permno_link
0000851199,000103883804000319,2004-04-12,SIRICOMM INC,no_permno_link
0001228086,000106823804000686,2004-04-13,STRUCTURED PRODUCTS CORP CAST STEP UP TRUST DOW CHEM NOTES,no_permno_link
0001283596,000106823804000692,2004-04-13,STRUCTURED PROD CORP TIERS CORP BND-BCKD CERT SER MOT 1998-5,no_permno_link
0001226024,000106823804000684,2004-04-13,STRUCTURED PRODUCTS CORP CAST STEP UP TR FOR CIT GROUP NOTES,no_permno_link
0001257017,000106823804000688,2004-04-13,STRUCTURED PRODUCTS CORP CASTSM STEP UP TR FOR MORG STAN NTS,no_permno_link
0001281813,000106823804000690,2004-04-13,STRUCTURED PRODUCTS CORP CORTS TR III FR FIRST UN INS CAP II,no_permno_link
0001139220,000116415004000048,2004-04-13,ELECTRA CAPITAL INC /NV,no_permno_link
0000094538,000009453804000022,2004-04-13,STOCKERYALE INC,no_permno_link
0001193158,000108503704000311,2004-04-13,BULLDOG TECHNOLOGIES INC,no_permno_link
0000850453,000085045304000003,2004-04-15,URBAN IMPROVEMENT FUND LIMITED 1972,no_permno_link
0000102343,000010234304000003,2004-04-15,URBAN IMPROVEMENT FUND LTD 1974,no_permno_link
0000102342,000010234204000003,2004-04-15,URBAN IMPROVEMENT FUND LTD 1973 II,no_permno_link
0000874482,000087448204000011,2004-04-15,UNION NATIONAL FINANCIAL CORP / PA,no_permno_link
0001005214,000125529404000129,2004-04-19,AMERICAN WAGERING INC,no_permno_link
0001162721,000114420404005106,2004-04-19,COFFEE EXCHANGE INC,no_permno_link
0000816330,000114420404005117,2004-04-20,JB OXFORD HOLDINGS INC,no_permno_link
0001056943,000105694304000041,2004-04-20,PEOPLES FINANCIAL SERVICES CORP/,no_permno_link
0001287339,000106823804000704,2004-04-20,STRUCTURED PRODUCTS CORP CORTS TRUST II GOLDMAN SACHS CAP I,no_permno_link
0001286189,000094787104001148,2004-04-20,MERRILL LYNCH DEPOSITOR INC PPLUS TRUST SERIES CMT-1,no_permno_link
0001286189,000094787104001144,2004-04-20,MERRILL LYNCH DEPOSITOR INC PPLUS TRUST SERIES CMT-1,no_permno_link
0001082084,000108208404000008,2004-04-21,FIRST AMERICAN CAPITAL CORP /KS,no_permno_link
0000883842,000088384204000005,2004-04-21,M WAVE INC,no_permno_link
0001001111,000114420404005240,2004-04-21,US GLOBAL NANOSPACE  INC,no_permno_link
0000910073,000115752304003523,2004-04-21,NEW YORK COMMUNITY BANCORP INC,no_permno_link
0001271484,000100009604000198,2004-04-21,ASSURETEC HOLDINGS INC,no_permno_link
0000855109,000085510904000009,2004-04-22,EXABYTE CORP /DE/,no_permno_link
0000929452,000100888604000092,2004-04-22,KNIGHT TRANSPORTATION INC,no_permno_link
0000357097,000104746904013316,2004-04-23,ISOLAGEN INC,no_permno_link
0000805928,000095013404005803,2004-04-23,LECTEC CORP /MN/,no_permno_link
0001082673,000117042304000142,2004-04-23,Y3K SECURE ENTERPRISE SOFTWARE INC,no_permno_link
