cik,acc_nodash,date_filed,filing_year,auditor_out,auditor_in,out_big4,in_big4,quality_direction,reason,disagreements
719711,000092838501000244,2001-01-31,2001,,Deloitte,,True,nonBig4_to_Big4,dismissal,True
1081665,000108166501500006,2001-01-31,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1038833,000104596901000078,2001-01-31,2001,,,,,nonBig4_to_nonBig4,unclassified,False
811671,000081167101500006,2001-02-01,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1075445,000107735701000029,2001-02-05,2001,,,,,nonBig4_to_nonBig4,unclassified,True
713975,000091205701004005,2001-02-05,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1085258,000095013001000607,2001-02-05,2001,,,,,nonBig4_to_nonBig4,dismissal,True
776105,000095013601000191,2001-02-05,2001,,,,,nonBig4_to_nonBig4,dismissal,True
1102301,000101968701000117,2001-02-05,2001,,,,,nonBig4_to_nonBig4,unclassified,False
225211,000022521101000002,2001-02-05,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1014299,000101905601000053,2001-02-06,2001,,,,,nonBig4_to_nonBig4,unclassified,False
355701,000101968701000119,2001-02-06,2001,,,,,nonBig4_to_nonBig4,unclassified,False
791885,000095011001000094,2001-02-06,2001,,,,,nonBig4_to_nonBig4,resignation,True
1088312,000102670001500026,2001-02-07,2001,,PricewaterhouseCoopers,,True,nonBig4_to_Big4,unclassified,True
842927,000105050201000081,2001-02-07,2001,,,,,nonBig4_to_nonBig4,dismissal,True
1109448,000091205701004212,2001-02-07,2001,,,,,nonBig4_to_nonBig4,unclassified,False
825313,000091205701004216,2001-02-07,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1104254,000093088101500003,2001-02-07,2001,,,,,nonBig4_to_nonBig4,dismissal,True
1094744,000104596901000112,2001-02-08,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1093986,000109398601000001,2001-02-08,2001,,Grant Thornton,,False,nonBig4_to_nonBig4,unclassified,True
1093986,000109398601000002,2001-02-08,2001,,Grant Thornton,,False,nonBig4_to_nonBig4,unclassified,True
890175,000104596901000112,2001-02-08,2001,,,,,nonBig4_to_nonBig4,unclassified,False
949427,000101738601000013,2001-02-09,2001,,,,,nonBig4_to_nonBig4,unclassified,True
937603,000101968701000152,2001-02-09,2001,,,,,nonBig4_to_nonBig4,unclassified,False
949113,000101968701000147,2001-02-09,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1074276,000104596901000121,2001-02-09,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1101098,000093980201000013,2001-02-09,2001,,,,,nonBig4_to_nonBig4,unclassified,False
907069,000102670001500027,2001-02-09,2001,,,,,nonBig4_to_nonBig4,unclassified,True
879703,000093221401500005,2001-02-09,2001,,Marcum,,False,nonBig4_to_nonBig4,dismissal,True
1074276,000104596901000120,2001-02-09,2001,,,,,nonBig4_to_nonBig4,unclassified,False
318300,000031830001000008,2001-02-09,2001,,,,,nonBig4_to_nonBig4,unclassified,False
795568,000089155401500588,2001-02-09,2001,,,,,nonBig4_to_nonBig4,resignation,True
1105064,000100547701000819,2001-02-12,2001,,,,,nonBig4_to_nonBig4,dismissal,True
910073,000100547701000817,2001-02-12,2001,,,,,nonBig4_to_nonBig4,unclassified,False
930481,000095010901000323,2001-02-12,2001,,KPMG,,True,nonBig4_to_Big4,unclassified,False
1082121,000089706901000110,2001-02-13,2001,,,,,nonBig4_to_nonBig4,resignation,True
1095175,000101968701000169,2001-02-13,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1095175,000101968701000170,2001-02-13,2001,,,,,nonBig4_to_nonBig4,unclassified,False
949113,000101968701000161,2001-02-13,2001,,,,,nonBig4_to_nonBig4,unclassified,False
89615,000095012401000733,2001-02-13,2001,,Ernst & Young,,True,nonBig4_to_Big4,dismissal,True
949113,000101968701000162,2001-02-13,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1075736,000102048801000017,2001-02-14,2001,Grant  Thornton,Grant  Thornton,False,False,nonBig4_to_nonBig4,dismissal,True
1133463,000113346301000007,2001-02-14,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1068104,000093173101000059,2001-02-14,2001,,,,,nonBig4_to_nonBig4,unclassified,False
314643,000031464301000002,2001-02-14,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1083941,000091205701005680,2001-02-14,2001,,,,,nonBig4_to_nonBig4,dismissal,True
314643,000113346301000003,2001-02-14,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1133463,000113346301000005,2001-02-14,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1133463,000113346301000004,2001-02-14,2001,,,,,nonBig4_to_nonBig4,unclassified,False
826405,000102670001500033,2001-02-14,2001,Grant  Thornton,,False,,nonBig4_to_nonBig4,dismissal,True
1024015,000091205701005653,2001-02-14,2001,,,,,nonBig4_to_nonBig4,dismissal,False
1069394,000102589401000082,2001-02-14,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1069394,000102589401000083,2001-02-14,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1059899,000111650201000212,2001-02-14,2001,,,,,nonBig4_to_nonBig4,dismissal,True
1100748,000109724601000011,2001-02-14,2001,,,,,nonBig4_to_nonBig4,unclassified,False
73952,000007395201500006,2001-02-15,2001,PricewaterhouseCoopers,Ernst & Young,True,True,Big4_to_Big4,dismissal,True
1104254,000093088101500004,2001-02-15,2001,,,,,nonBig4_to_nonBig4,dismissal,True
1088664,000107735701000050,2001-02-15,2001,,,,,nonBig4_to_nonBig4,unclassified,True
1080291,000102317501500049,2001-02-16,2001,,,,,nonBig4_to_nonBig4,dismissal,True
1080291,000102317501500050,2001-02-16,2001,BDO,BDO,False,False,nonBig4_to_nonBig4,dismissal,True
831979,000113388401500035,2001-02-16,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1096934,000109000201000052,2001-02-16,2001,,,,,nonBig4_to_nonBig4,dismissal,True
823314,000101410801000034,2001-02-16,2001,Grant  Thornton,,False,,nonBig4_to_nonBig4,resignation,True
1130764,000095016801000321,2001-02-20,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1125131,000095016801000320,2001-02-20,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1005101,000106083001000015,2001-02-20,2001,,,,,nonBig4_to_nonBig4,resignation,True
1102301,000101968701000227,2001-02-20,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1099963,000109635001000018,2001-02-20,2001,,,,,nonBig4_to_nonBig4,unclassified,False
852447,000095013401001596,2001-02-20,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1066104,000092838501000523,2001-02-20,2001,,,,,nonBig4_to_nonBig4,unclassified,False
318300,000031830001000009,2001-02-21,2001,,,,,nonBig4_to_nonBig4,unclassified,False
702325,000070232501500006,2001-02-21,2001,,,,,nonBig4_to_nonBig4,unclassified,False
318300,000031830001000010,2001-02-21,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1016577,000102140801001299,2001-02-21,2001,,Deloitte,,True,nonBig4_to_Big4,dismissal,False
1007797,000106823801000055,2001-02-21,2001,,,,,nonBig4_to_nonBig4,unclassified,False
859917,000085991701000002,2001-02-21,2001,,,,,nonBig4_to_nonBig4,dismissal,True
32312,000003231201500009,2001-02-21,2001,,,,,nonBig4_to_nonBig4,unclassified,False
